         4990075 function calls (4989149 primitive calls) in 1.924 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       33    0.593    0.018    0.593    0.018 {method 'acquire' of '_thread.lock' objects}
  2538894    0.446    0.000    0.446    0.000 tokenizer_impl.py:19(__lt__)
        1    0.364    0.364    1.886    1.886 tokenizer_impl.py:110(train_bpe)
   142045    0.178    0.000    0.581    0.000 {built-in method _heapq.heappop}
     9743    0.060    0.000    0.646    0.000 tokenizer_impl.py:102(find_max_element)
   167862    0.050    0.000    0.050    0.000 tokenizer_impl.py:12(__init__)
       22    0.046    0.002    0.046    0.002 {built-in method _imp.create_dynamic}
1220080/1219961    0.031    0.000    0.031    0.000 {built-in method builtins.len}
   166930    0.025    0.000    0.067    0.000 {built-in method _heapq.heappush}
        1    0.023    0.023    0.025    0.025 tokenizer_impl.py:66(get_pairs_cnts)
   619075    0.020    0.000    0.020    0.000 {method 'append' of 'list' objects}
       83    0.010    0.000    0.010    0.000 {method 'read' of '_io.BufferedReader' objects}
        8    0.007    0.001    0.007    0.001 {method 'decode' of 'bytes' objects}
        1    0.007    0.007    1.902    1.902 train_bpe_on_tiny_stories.py:1(<module>)
        8    0.007    0.001    0.010    0.001 __init__.py:649(update)
        1    0.006    0.006    0.017    0.017 tokenizer_impl.py:42(merge_frq_tbls)
       68    0.005    0.000    0.005    0.000 {built-in method io.open_code}
       66    0.004    0.000    0.004    0.000 {built-in method marshal.loads}
    52211    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
        9    0.003    0.000    0.003    0.000 {built-in method _posixsubprocess.fork_exec}
  322/321    0.003    0.000    0.005    0.000 {built-in method builtins.__build_class__}
       48    0.002    0.000    0.002    0.000 {built-in method posix.waitpid}
        1    0.001    0.001    0.005    0.005 _regex_core.py:16(<module>)
      385    0.001    0.000    0.001    0.000 {built-in method posix.stat}
    25764    0.001    0.000    0.001    0.000 __init__.py:595(__missing__)
        8    0.001    0.000    0.001    0.000 {built-in method posix.kill}
     5474    0.001    0.000    0.001    0.000 {built-in method builtins.max}
        8    0.001    0.000    0.007    0.001 popen_spawn_posix.py:38(_launch)
       79    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.001    0.001    0.001    0.001 {method 'acquire' of '_multiprocessing.SemLock' objects}
      202    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
    72/27    0.001    0.000    0.002    0.000 sre_parse.py:493(_parse)
       20    0.001    0.000    0.001    0.000 {method 'dump' of '_pickle.Pickler' objects}
      189    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x102cbe860}
       11    0.000    0.000    0.000    0.000 {built-in method io.open}
        9    0.000    0.000    0.004    0.000 util.py:447(spawnv_passfds)
        1    0.000    0.000    0.684    0.684 tokenizer_impl.py:80(create_frq_tbl_from_file)
     2085    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
       15    0.000    0.000    0.000    0.000 util.py:186(__init__)
      994    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        8    0.000    0.000    0.001    0.000 enum.py:179(__new__)
        9    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        6    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      994    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        8    0.000    0.000    0.000    0.000 process.py:80(__init__)
     1802    0.000    0.000    0.001    0.000 sre_parse.py:254(get)
      134    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      100    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:901(_find_spec)
        8    0.000    0.000    0.007    0.001 popen_fork.py:15(__init__)
        8    0.000    0.000    0.009    0.001 process.py:110(start)
      963    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       97    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
       67    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:916(get_code)
        1    0.000    0.000    0.000    0.000 {built-in method posix.replace}
       20    0.000    0.000    0.000    0.000 reduction.py:38(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method posix.open}
   111/24    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
    101/7    0.000    0.000    0.078    0.011 <frozen importlib._bootstrap>:1002(_find_and_load)
        1    0.000    0.000    0.009    0.009 pool.py:311(_repopulate_pool_static)
        8    0.000    0.000    0.008    0.001 context.py:281(_Popen)
        9    0.000    0.000    0.000    0.000 subprocess.py:282(_args_from_interpreter_flags)
     1202    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
     2980    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       91    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
        6    0.000    0.000    0.018    0.003 synchronize.py:50(__init__)
     91/7    0.000    0.000    0.078    0.011 <frozen importlib._bootstrap>:659(_load_unlocked)
      126    0.000    0.000    0.000    0.000 enum.py:88(__setitem__)
        1    0.000    0.000    0.030    0.030 pool.py:183(__init__)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
       10    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        6    0.000    0.000    0.000    0.000 __init__.py:345(namedtuple)
       20    0.000    0.000    0.001    0.000 resource_tracker.py:70(ensure_running)
        8    0.000    0.000    0.001    0.000 spawn.py:150(get_preparation_data)
     1105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
    101/7    0.000    0.000    0.078    0.011 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      178    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
