         2894641328 function calls (2894640371 primitive calls) in 433.102 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
353335255  266.297    0.000  383.094    0.000 tokenizer_impl.py:34(_get_pre_tokens_as_bytes_tuple)
1796994351   59.765    0.000   59.765    0.000 tokenizer_impl.py:37(<genexpr>)
        1   45.634   45.634  428.728  428.728 {built-in method _collections._count_elements}
353335255   22.578    0.000   22.578    0.000 {method 'group' of '_regex.Match' objects}
353335262   19.605    0.000   19.605    0.000 {method 'encode' of 'str' objects}
        1    4.629    4.629    4.629    4.629 {method 'split' of '_regex.Pattern' objects}
        2    2.911    1.456    4.334    2.167 {method 'read' of '_io.TextIOWrapper' objects}
  1789912    2.246    0.000    8.778    0.000 regex.py:449(_compile)
  3579994    1.900    0.000    4.564    0.000 enum.py:977(__and__)
        2    1.422    0.711    1.422    0.711 {built-in method _codecs.utf_8_decode}
  7160051    1.287    0.000    2.337    0.000 enum.py:358(__call__)
  7160044    1.048    0.000    1.049    0.000 enum.py:670(__new__)
  1789910    0.739    0.000   10.220    0.000 regex.py:340(finditer)
  1789910    0.704    0.000    0.704    0.000 {method 'finditer' of '_regex.Pattern' objects}
  1789912    0.533    0.000    0.742    0.000 regex.py:471(complain_unused_args)
      4/3    0.468    0.117    0.468    0.156 _regex_core.py:3829(_compile)
1789937/1789931    0.449    0.000    0.622    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
  5372854    0.402    0.000    0.402    0.000 {built-in method builtins.isinstance}
  1789912    0.209    0.000    0.209    0.000 regex.py:476(<setcomp>)
  1795645    0.142    0.000    0.142    0.000 {method 'get' of 'dict' objects}
  1790698    0.092    0.000    0.092    0.000 {built-in method builtins.hasattr}
       18    0.009    0.000    0.009    0.000 {built-in method _imp.create_dynamic}
       55    0.008    0.000    0.008    0.000 {method 'read' of '_io.BufferedReader' objects}
       53    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
  270/269    0.002    0.000    0.005    0.000 {built-in method builtins.__build_class__}
       55    0.001    0.000    0.001    0.000 {built-in method io.open_code}
        1    0.001    0.001    0.005    0.005 _regex_core.py:16(<module>)
5450/5449    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      316    0.001    0.000    0.001    0.000 {built-in method posix.stat}
    72/27    0.001    0.000    0.002    0.000 sre_parse.py:493(_parse)
      163    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
       57    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      187    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x1037de860}
     2085    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
        8    0.000    0.000    0.001    0.000 enum.py:179(__new__)
        6    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        3    0.000    0.000    0.000    0.000 {built-in method posix.open}
        1    0.000    0.000    0.000    0.000 {built-in method posix.replace}
      802    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     1802    0.000    0.000    0.001    0.000 sre_parse.py:254(get)
      802    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
       78    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
   111/24    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
      108    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
       80    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:901(_find_spec)
       54    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:916(get_code)
        1    0.000    0.000  433.062  433.062 tokenizer_impl.py:80(create_frq_tbl_from_file)
      666    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
     81/2    0.000    0.000    0.039    0.020 <frozen importlib._bootstrap>:1002(_find_and_load)
      126    0.000    0.000    0.000    0.000 enum.py:88(__setitem__)
